date,coin_id,symbol,price_usd,total_volume_usd,daily_return,log_return,roll_vol_30d,roll_mean_30d
2018-05-28,binancecoin,BNB,11.9179,11420576.011776,-0.05448011043587264,-0.056020355077245614,1.027575810958819,13.611503333333333
2018-05-29,binancecoin,BNB,12.6073,18092196.277756,0.05784576141769948,0.05623453964963582,1.051727696216391,13.530116666666666
2018-05-30,binancecoin,BNB,12.6199,16280445.891984,0.0009994209703900747,0.0009989218817574638,1.040330853309574,13.473143333333333
2018-05-31,binancecoin,BNB,14.2,37070312.437441,0.12520701431865544,0.11796703145581185,1.1236815723592994,13.474106666666668
2018-06-01,binancecoin,BNB,14.2888,32653012.969116,0.006253521126760697,0.0062340490009218374,1.1219138691561175,13.4691
2018-06-02,binancecoin,BNB,14.6732,34189301.515419,0.02690218912714859,0.026546687002047258,1.124085755448274,13.46821
2018-06-03,binancecoin,BNB,14.6995,32934034.525405,0.0017923833928523702,0.0017907789905887855,1.1209755245353539,13.479453333333334
2018-06-04,binancecoin,BNB,14.2636,22251821.258586,-0.02965406986632202,-0.03010264205792483,1.1259284859738536,13.473346666666666
2018-06-05,binancecoin,BNB,15.6156,38768714.54468,0.09478672985782,0.09055957704572713,1.163754202816555,13.526800000000001
2018-06-06,binancecoin,BNB,17.275,63980353.44343,0.10626552934245237,0.10098995506515865,1.2079849360656176,13.645633333333333
2018-06-07,binancecoin,BNB,16.2791,54757849.326377,-0.057649782923299475,-0.05937829316275859,1.2281042535824445,13.738333333333335
2018-06-08,binancecoin,BNB,16.2292,41055574.700562,-0.0030652800216228737,-0.0030699876149509133,1.1980796549974655,13.79125
2018-06-09,binancecoin,BNB,16.0188,38368117.183825,-0.012964286594533303,-0.013049056408474096,1.1781490790984026,13.865353333333333
2018-06-10,binancecoin,BNB,14.18,37827121.595709,-0.11479012160711155,-0.1219305113635684,1.2391620725210033,13.905073333333332
2018-06-11,binancecoin,BNB,15.47,36064581.538948,0.09097320169252465,0.08707014348099329,1.2729733404852213,13.989676666666666
2018-06-12,binancecoin,BNB,15.2263,53983333.335137,-0.0157530704589528,-0.015878468755691322,1.274572966961462,14.058836666666668
